Transaction Date,Details,Account,Category,Subcategory,Notes,Debit,Credit,Balance,Original Description
14-06-2022,"Myers, Jackson and Villarreal",Transaction Account,Technology,Hardware,According only image heart.,315.25,,27632.69,Wish audience among from.
20-01-2023,Dickerson LLC,Transaction Account,Technology,Online Services,When manager step free great force.,76.17,,30348.57,Candidate movement wall here support.
27-04-2023,Carlson-Cooper,Transaction Account,Income,Salary,Whatever ask religious without inside form.,,870.85,30040.59,By difference help rate director site.
01-01-2023,Jackson and Sons,Transaction Account,Gifts & Donations,Gifts,Guy begin protect.,714.38,,16022.47,Particular manager me increase data make.
14-03-2023,Davis-Munoz,Transaction Account,Technology,Software,Shake suggest gun what girl.,223.79,,33759.65,Check sure research statement back.
02-02-2023,Hall and Sons,Transaction Account,Personal,Clothing,Administration tend direction hot structure institution.,457.12,,14564.52,Important many catch bill away former.
13-10-2022,"Mays, Anthony and Callahan",Transaction Account,Technology,Online Services,Management carry rest student our.,76.22,,46967.34,Book nature care fire imagine.
01-07-2022,Ward Ltd,Transaction Account,Home,Furnishings,Toward although organization other I rule last.,463.98,,19188.8,Number together report former.
04-01-2023,Romero-Boyer,Transaction Account,Personal,Clothing,Election affect special let style work garden specific.,323.88,,32813.02,Production get build catch issue his clear.
13-04-2023,Baldwin Ltd,Transaction Account,Travel,Tours & Cruises,Teach hour campaign someone.,143.19,,13525.82,Land case even.
11-03-2023,"Martinez, King and Green",Transaction Account,Education,Stationery,Hope life like southern former.,577.31,,34685.03,Value red someone value experience.
25-12-2022,Mcgee-Shaw,Transaction Account,Utilities,"Electricity, Gas & Water",Need article production attack.,312.4,,40091.47,Six central practice really maybe single.
02-05-2023,Johnson-Escobar,Transaction Account,Food & Drink,Fast Food,Position speech admit.,543.33,,10611.23,Light level consider peace fish technology strategy.
05-03-2023,White Inc,Transaction Account,Health & Medical,Pharmacies,According watch house huge.,183.08,,10371.2,Two result probably seek care.
25-04-2023,"Knapp, Mcclain and Chambers",Transaction Account,Insurance,Financial Insurance,Happy suddenly discover write step center.,51.14,,35171.35,Laugh chair first answer after.
03-09-2022,Boone Inc,Transaction Account,Food & Drink,Restaurants,Share charge he action.,356.8,,29142.66,Draw former child indeed approach.
09-11-2022,"Henry, Thompson and Richardson",Transaction Account,Income,Salary,Way sister nor impact.,,800.94,31800.0,Start rock serious blue service point poor raise.
02-07-2022,Phillips-Lopez,Transaction Account,Travel,Travel Entertainment,Kitchen find line describe specific.,95.1,,35827.99,Kitchen least evidence all.
12-06-2022,Stewart and Sons,Transaction Account,Personal,Clothing,Agree member now subject between.,728.62,,27589.32,Concern big animal office stage produce.
22-05-2023,Garcia and Sons,Transaction Account,Personal,Clothing,For from financial dog accept foreign increase.,435.59,,32931.64,No space they son present sea.
02-04-2023,"Jones, Smith and White",Transaction Account,Education,Stationery,Write fine choice deal range.,586.95,,38549.35,Billion hope certainly attorney shake indeed.
12-02-2023,Freeman Ltd,Transaction Account,Insurance,Financial Insurance,Next use work our behind step.,220.54,,14468.28,Drive grow quite occur.
21-06-2022,"Rhodes, Wright and Johnson",Transaction Account,Transportation,Fuel,How chair watch later impact.,701.07,,42893.77,May use building like wall rule.
19-04-2023,Atkinson-Gonzalez,Transaction Account,Personal,Other Personal Expenses,Itself trouble team shoulder.,355.71,,27534.53,Close position edge fine PM author nearly.
07-09-2022,Kaufman-Wall,Transaction Account,Utilities,"Electricity, Gas & Water",Play their dream voice find.,789.16,,44054.92,Hot about indicate nice name southern just help.
29-01-2023,James-James,Transaction Account,Personal,Clothing,Let my will conference watch there.,462.51,,43435.01,Moment election usually whole.
01-12-2022,Sampson Group,Transaction Account,Services,Government,Newspaper series material trade seat any hold.,707.08,,19661.1,Trade summer me identify.
07-05-2023,Webb LLC,Transaction Account,Leisure,Movies,Window soon relationship simply several.,464.77,,29267.06,Only marriage catch food ability yourself.
23-09-2022,Pope-Mann,Transaction Account,Travel,Accommodation,Over ground against project left.,537.84,,35117.58,Television like few I recently political surface.
18-03-2023,Chaney and Sons,Transaction Account,Personal,Clothing,Of because sense or three show prevent.,608.43,,43307.1,By candidate term by enter soon.
17-09-2022,"Wilson, Carr and David",Transaction Account,Transportation,Parking & Tolls,Yet company wear human sport hour suggest true.,325.16,,39495.93,Maybe agree suffer pick everybody.
19-02-2023,Beck Group,Transaction Account,Health & Medical,Pharmacies,Heavy newspaper interview heavy tonight data fine.,20.59,,15584.31,Between half expect.
11-09-2022,Perry-Davis,Transaction Account,Personal,Other Personal Expenses,Either write such necessary west.,160.14,,26218.12,Natural single smile believe maybe adult today.
13-09-2022,Woodward Inc,Transaction Account,Food & Drink,Other Food Expenses,Four west city pay relationship land.,533.87,,22864.62,Example player learn no.
30-10-2022,"Sandoval, Nelson and Higgins",Transaction Account,Transportation,Public Transit,Arrive edge push executive adult science.,112.12,,41495.95,Stuff lose example entire five.
19-05-2023,Moore Group,Transaction Account,Financial,Transfers,Choose fall eat situation stock social way.,541.29,,49642.86,Bill over traditional couple.
25-12-2022,Sanchez-Vargas,Transaction Account,Health & Medical,Pharmacies,Option bag challenge race good tree.,203.62,,36280.83,Note military make life people.
30-09-2022,"Coleman, Henry and Rogers",Transaction Account,Financial,Cash Withdrawals,Short onto item condition amount minute manage.,575.45,,23986.94,Station anything detail worry likely firm.
18-07-2022,Sanchez-Hill,Transaction Account,Services,Government,Seem friend see anything social.,636.93,,19504.85,Head fear however store little.
13-02-2023,Graham-Hill,Transaction Account,Health & Medical,Pharmacies,Carry want expect good.,542.62,,15080.68,Not girl hundred until treatment from.
14-06-2022,Tyler and Sons,Transaction Account,Food & Drink,Other Food Expenses,Take central fish open personal six lose answer.,323.49,,20913.63,Have whatever have structure week.
24-03-2023,Lewis-Manning,Transaction Account,Gifts & Donations,Gifts,Very feeling fly.,348.07,,13546.02,No generation let business early respond.
17-09-2022,Baker Group,Transaction Account,Travel,Accommodation,Feel over gas throughout.,602.83,,29584.85,Social black protect quickly maybe available relationship.
26-08-2022,Hanson Ltd,Transaction Account,Personal,Clothing,Understand suggest eat Republican film they.,606.84,,20925.72,Central with agent.
06-10-2022,"Avery, Gardner and Rodriguez",Transaction Account,Leisure,Dance,Garden PM win together simple hand blue.,66.78,,12384.2,Score current age rest record behavior.
30-06-2022,Smith PLC,Transaction Account,Home,Furnishings,Think yard industry body finish serious success.,189.17,,31551.69,Marriage control strategy power painting world.
13-11-2022,Massey and Sons,Transaction Account,Food & Drink,Groceries,Dog nearly create international.,72.75,,17370.88,Do manager quite seat.
15-05-2023,Moore Group,Transaction Account,Personal,Other Personal Expenses,Order much baby it whose join situation.,218.35,,16095.07,Type model perhaps.
13-07-2022,Jenkins Ltd,Transaction Account,Insurance,Financial Insurance,Today color business would teacher our control treatment.,162.46,,33682.0,Wall according this step onto region.
03-11-2022,Robinson Ltd,Transaction Account,Health & Medical,Other Health Expenses,Answer break result space ground office hard.,61.58,,38784.8,Trouble record site old family.
16-06-2022,Green LLC,Transaction Account,Income,Salary,Big statement floor politics help light.,,532.59,32947.09,Direction range human speech open return process economy.
08-05-2023,"Ramirez, Henderson and Morrison",Transaction Account,Insurance,Financial Insurance,You real little try pretty protect.,576.88,,21287.72,Magazine writer no subject event law certainly difficult.
26-07-2022,Martinez-Werner,Transaction Account,Technology,Software,Song fill much major detail including.,267.66,,23565.73,Sport with evening certainly follow support.
12-04-2023,"Castillo, Caldwell and King",Transaction Account,Services,Government,Allow nearly later or begin matter beat.,102.24,,10508.54,Travel method age fight trade strategy food.
26-06-2022,Church-Nelson,Transaction Account,Travel,Tours & Cruises,Three benefit eight its.,356.25,,24282.59,Own appear election.
26-07-2022,"Castillo, Doyle and Bailey",Transaction Account,Food & Drink,Groceries,Strong stuff point cut too able.,383.66,,10185.99,Although produce son walk senior.
09-08-2022,Jones-Anderson,Transaction Account,Income,Salary,Suddenly establish church.,,527.61,42618.7,Democratic none official long mean list.
05-07-2022,Hall-White,Transaction Account,Gifts & Donations,Gifts,That compare account finally cell chair.,536.13,,35048.57,Beat prove director statement know role perhaps.
26-09-2022,Wall LLC,Transaction Account,Utilities,Pay TV,Piece goal box treatment society six ok.,86.66,,40250.82,Quickly help rate mind.
18-06-2022,Friedman-Smith,Transaction Account,Financial,Cash Withdrawals,Such task population son by performance.,730.41,,20148.21,Improve keep record people.
02-05-2023,Smith LLC,Transaction Account,Technology,Software,So industry professional today project memory.,458.05,,12378.07,Really remember may country him along.
29-12-2022,"Miller, Cruz and Johnson",Transaction Account,Gifts & Donations,Gifts,Far form cause heavy not especially person.,469.68,,30059.37,Create lay crime interesting.
16-12-2022,"Peterson, King and Hicks",Transaction Account,Income,Salary,Plant admit foreign type new official within even.,,554.78,43890.56,Office box ready though before including.
28-02-2023,"Brown, Roach and Welch",Transaction Account,Transportation,Taxis,System stage Republican result expect movement future.,629.47,,11800.32,Season her table.
27-04-2023,Thompson and Sons,Transaction Account,Financial,Transfers,More agreement agreement event turn.,475.41,,31562.47,Conference move child the piece instead political.
24-11-2022,Ortega Inc,Transaction Account,Leisure,Games,Growth worry still buy follow.,137.19,,25999.42,Benefit nice argue push spend.
22-12-2022,Brown-Smith,Transaction Account,Insurance,Financial Insurance,Account crime share friend.,631.84,,42834.1,Baby let pattern foreign.
01-02-2023,Perez-Mclaughlin,Transaction Account,Technology,Software,Word bill specific father.,485.95,,32943.65,Prevent today appear purpose alone.
19-08-2022,"Singh, Taylor and Mcmahon",Transaction Account,Food & Drink,Restaurants,Happen near establish nor cost.,69.11,,34219.5,Avoid bag also when city attention guy long.
30-12-2022,"Conley, Leonard and Turner",Transaction Account,Utilities,Pay TV,Identify foot next course reality sell.,79.22,,39402.08,Beautiful often always history with anything customer compare.
24-10-2022,Rose Group,Transaction Account,Technology,Hardware,Middle weight question hit decade road final mother.,495.58,,46107.43,Past sea bar against official chance thousand produce.
12-08-2022,Morris-Simmons,Transaction Account,Financial,Transfers,Executive woman none safe after.,512.55,,43189.3,Pm account front he travel themselves.
27-06-2022,Allen-Chan,Transaction Account,Utilities,Phone,Player claim chair marriage.,297.13,,30151.48,Knowledge everything task issue mention least.
05-10-2022,"Ferguson, Bailey and Brown",Transaction Account,Services,Government,Customer apply low still leave.,362.25,,40399.59,Former crime grow building difference subject class.
26-07-2022,Randolph LLC,Transaction Account,Education,Stationery,Miss east list baby skin.,487.38,,21208.55,Professional development him happy as coach nor.
20-01-2023,Henderson-Mccoy,Transaction Account,Health & Medical,Eyes,Bed reason certainly.,6.31,,46795.03,Last herself time different work.
02-12-2022,Reeves-Robertson,Transaction Account,Personal,Other Personal Expenses,Series happen town teach.,730.81,,23747.22,Idea free sure sister themselves.
01-01-2023,Schneider Group,Transaction Account,Financial,Direct Debits,Rate management memory three common late.,372.48,,45602.21,Term will performance property campaign.
24-01-2023,Carter and Sons,Transaction Account,Travel,Travel Entertainment,Safe lawyer east.,743.24,,28878.5,Soon production pass.
16-01-2023,"Sanchez, Jackson and Bailey",Transaction Account,Services,Government,Pressure until two.,497.63,,20898.79,Newspaper daughter difficult technology everybody.
04-06-2022,Barajas-Booth,Transaction Account,Transportation,Public Transit,Strategy wall at ball fill order.,647.82,,15224.53,Watch might too lawyer sit sense.
01-12-2022,Davis and Sons,Transaction Account,Gifts & Donations,Gifts,Public majority even cold knowledge.,687.37,,31389.4,Along quite test face.
30-09-2022,Jones PLC,Transaction Account,Income,Salary,Bag data evening fly wear save right.,,966.89,17778.33,Foot door security share.
11-02-2023,"Randolph, Little and Braun",Transaction Account,Utilities,"Electricity, Gas & Water",While hold reach vote give eight almost.,217.49,,33883.34,Part fire community per talk.
22-02-2023,Krueger-Garcia,Transaction Account,Services,Marketing,Section identify heart my later guy.,71.92,,38744.83,Player the almost close daughter under.
21-01-2023,Hickman Group,Transaction Account,Food & Drink,Alcohol & Bars,Safe government fine activity.,269.6,,21303.04,Wall participant either could sometimes.
04-07-2022,"Waters, Hopkins and Bauer",Transaction Account,Technology,Software,Economic generation role south possible.,136.87,,40486.11,Do people natural theory sell.
04-01-2023,Barrera and Sons,Transaction Account,Financial,Cash Withdrawals,Successful gun beyond city activity.,43.25,,32755.43,After ball coach year.
29-03-2023,Rodriguez and Sons,Transaction Account,Travel,Tours & Cruises,Cover marriage few know teach large on.,776.5,,15112.72,Community two finally product decide house physical former.
02-05-2023,Carr PLC,Transaction Account,Home,Furnishings,Group company best movement us sign analysis.,132.27,,48078.2,Show entire try hard value simple.
12-04-2023,Colon Inc,Transaction Account,Technology,Software,Against imagine enter pass race top agreement fact.,690.12,,46088.18,Late assume card.
23-12-2022,Diaz-Gutierrez,Transaction Account,Leisure,Movies,Impact year will strategy buy sport such rate.,233.88,,42257.12,Officer time this point feeling lay.
08-05-2023,"Smith, Jones and Anderson",Transaction Account,Health & Medical,Other Health Expenses,Never little yes read.,474.99,,12795.43,Soldier television drop growth PM exist.
09-12-2022,Weaver LLC,Transaction Account,Leisure,Games,Cause happen evidence part watch teach opportunity oil.,773.59,,29867.88,Myself soldier stand drop country market.
09-03-2023,"Nelson, Perez and Byrd",Transaction Account,Utilities,"Electricity, Gas & Water",Could stand his.,69.03,,31439.39,Program yet meeting.
06-09-2022,"Irwin, Tucker and Murray",Transaction Account,Food & Drink,Groceries,Find case thank little.,641.87,,48973.75,Class once boy improve tell.
24-12-2022,Smith-Adams,Transaction Account,Education,Stationery,Position lot resource girl.,712.99,,47213.17,Whom technology plan professional amount couple.
23-05-2023,Rhodes and Sons,Transaction Account,Travel,Travel Entertainment,Car own rise area how.,389.21,,47434.58,Control it hot point.
08-04-2023,"Collins, Padilla and Dawson",Transaction Account,Personal,Other Personal Expenses,Right behavior crime fight.,790.63,,23735.35,Contain no scientist American contain room.
10-04-2023,Harvey-Anderson,Transaction Account,Home,Furnishings,Left care rock black too media he usually.,16.08,,18161.07,Least sign name door.
03-07-2022,Dixon Inc,Transaction Account,Transportation,Public Transit,Role enter public difference similar with significant.,358.33,,27649.81,Particularly now task dog.
31-07-2022,Graham LLC,Transaction Account,Food & Drink,Other Food Expenses,Then identify oil soon goal say.,263.8,,31545.23,Beat nice seat each.
03-08-2022,Johnson-Smith,Transaction Account,Services,Marketing,Suggest term serious phone prevent.,55.25,,21329.55,Camera loss also much.
06-09-2022,Kelly Ltd,Transaction Account,Home,Furnishings,Ready world charge value evening quality.,615.02,,38670.25,Tonight fear whole.
11-10-2022,"Johnson, Harris and Aguilar",Transaction Account,Services,Government,Force eye human paper.,197.02,,22392.24,Always newspaper through defense.
10-01-2023,"Dennis, Gibbs and Calderon",Transaction Account,Health & Medical,Other Health Expenses,Reveal main tough couple while section.,442.59,,49985.8,Purpose break forward room hit.
05-08-2022,"Johnson, Stephens and Rivera",Transaction Account,Health & Medical,Pharmacies,Control machine on institution water.,485.6,,28957.32,Activity sit finish science drug as.
23-04-2023,Thomas-Eaton,Transaction Account,Health & Medical,Other Health Expenses,Summer east follow sure.,170.95,,34651.71,Hundred success stop thank anyone field action.
07-09-2022,Perez PLC,Transaction Account,Health & Medical,Eyes,Interest article still include decide real prepare join.,330.51,,15455.8,This real detail yourself.
14-05-2023,Sampson Ltd,Transaction Account,Technology,Online Services,Next bank sea pressure PM commercial final.,226.52,,26845.77,Even front study eye general.
02-05-2023,Cooper Inc,Transaction Account,Technology,Hardware,West matter say.,71.41,,46346.1,Answer sure probably form.
27-05-2022,Collins Inc,Transaction Account,Leisure,Fun,Ready for thus memory here recognize most.,237.13,,42993.91,None might better price knowledge room garden.
25-03-2023,Lewis-Smith,Transaction Account,Financial,Cash Withdrawals,Begin back least anything leg particular.,713.26,,18326.01,Body behind car growth argue include ago.
01-07-2022,Lewis Group,Transaction Account,Education,Stationery,Ability bit political every among.,24.66,,20248.71,Sing something activity strategy strategy structure.
04-03-2023,"Conner, Castillo and Bates",Transaction Account,Services,Marketing,Poor security last require she.,717.17,,24422.08,Stuff must perform move direction.
05-07-2022,Miles-Ortiz,Transaction Account,Income,Salary,Argue record behind item.,,669.97,44266.97,At huge control way specific.
21-11-2022,Ryan-Dunn,Transaction Account,Travel,Tours & Cruises,Stock significant later.,91.19,,12611.5,Region play television fine wind small question.
24-12-2022,Frazier and Sons,Transaction Account,Utilities,Pay TV,Difference within central toward risk glass morning.,702.12,,48472.97,Phone inside painting exactly.
24-11-2022,Rivas Inc,Transaction Account,Personal,Other Personal Expenses,Miss message cost on environment mean message.,480.65,,13268.26,News good down.
31-01-2023,Burch-Flores,Transaction Account,Home,Furnishings,Sing seat common concern put suffer anything.,720.48,,47095.01,Image including treat economic their join.
07-05-2023,"Edwards, West and Cummings",Transaction Account,Gifts & Donations,Gifts,Myself old listen measure watch.,128.34,,22724.6,Already she explain receive popular mind what.
23-04-2023,Reed-Price,Transaction Account,Food & Drink,Restaurants,What fish mission matter policy.,150.94,,44888.4,Team PM production list usually those indeed.
25-05-2023,"Daniel, Long and May",Transaction Account,Leisure,Music,Ask assume present law assume modern him.,466.93,,33371.7,Again race may article pass phone among as.
12-05-2023,Best PLC,Transaction Account,Gifts & Donations,Gifts,Benefit cover employee meet myself.,326.29,,27598.05,Southern today tend cover someone entire.
15-01-2023,Contreras-Velasquez,Transaction Account,Health & Medical,Other Health Expenses,Operation range need remember increase discussion.,275.76,,46152.95,Under third catch.
31-03-2023,Wilson-Phillips,Transaction Account,Transportation,Parking & Tolls,Own property step summer leader.,49.81,,31593.77,Save respond likely police.
28-11-2022,Hester Group,Transaction Account,Travel,Tours & Cruises,Present account kind paper research cultural specific.,621.96,,29939.37,Serious what run job indeed discussion.
22-02-2023,"Porter, Lane and Lutz",Transaction Account,Technology,Hardware,Nor treat Congress nice.,392.43,,49807.45,Yourself explain imagine page health.
08-01-2023,Garcia Inc,Transaction Account,Leisure,Games,Long north develop administration practice answer.,575.47,,43997.44,Radio share each.
23-08-2022,Wise-Lee,Transaction Account,Insurance,Financial Insurance,Group idea wall.,418.36,,44318.72,Loss generation sell involve run matter morning.
22-11-2022,Knight-Daniels,Transaction Account,Utilities,Pay TV,Language loss per all month.,683.4,,21405.96,Get policy light wonder.
23-05-2023,Cook LLC,Transaction Account,Home,Furnishings,Ready tough bring family medical.,650.24,,22476.91,Particularly yeah increase back next rule.
14-01-2023,Morris LLC,Transaction Account,Personal,Clothing,Although ok rock stage sit.,710.73,,27674.07,Discover stuff Congress note moment reach center.
03-07-2022,Wolfe and Sons,Transaction Account,Leisure,Music,Sit mission table travel push wrong article.,412.03,,35426.79,Behavior cell half run operation most.
12-12-2022,Brown-Turner,Transaction Account,Services,Marketing,Go perhaps consumer community.,433.98,,34885.08,Include cell finish food production.
11-06-2022,"Peterson, Nelson and Matthews",Transaction Account,Travel,Travel Entertainment,Leader probably environmental accept.,151.79,,44038.5,Election training campaign suggest use we along.
01-03-2023,Jenkins-Mccarthy,Transaction Account,Financial,Cash Withdrawals,Can behavior herself.,466.66,,33128.84,Believe information common human explain.
11-01-2023,Morgan Group,Transaction Account,Health & Medical,Pharmacies,Paper control various above law ball.,782.26,,39438.61,Fear require pressure later into detail tough.
14-09-2022,Kelly-Nunez,Transaction Account,Food & Drink,Alcohol & Bars,Yet agreement main billion term region line call.,322.92,,21643.8,Itself behavior write create physical agree defense.
10-09-2022,Combs LLC,Transaction Account,Insurance,Financial Insurance,Process table create treat five a.,762.8,,10952.69,That now him peace student admit.
06-06-2022,Freeman Ltd,Transaction Account,Food & Drink,Fast Food,Require parent site within decide air force.,220.73,,48128.63,Letter build recently practice.
14-05-2023,"Huerta, Silva and Johnson",Transaction Account,Financial,Cash Withdrawals,Within show throughout southern method.,19.94,,41765.06,Surface church simply measure.
19-12-2022,Collins-Owens,Transaction Account,Education,Stationery,Far music whom mother.,483.52,,33975.1,Rise environment generation.
24-08-2022,Moore-Rose,Transaction Account,Insurance,Financial Insurance,Treat side base reveal business.,531.68,,40268.91,Theory still deep resource.
03-10-2022,Bender Inc,Transaction Account,Health & Medical,Eyes,Power reveal full pattern every full.,581.32,,36224.53,Next real letter budget body from.
28-02-2023,"Hendricks, Williams and Moore",Transaction Account,Utilities,Pay TV,About mouth memory.,175.4,,38184.89,Over long event land.
01-04-2023,Ayala Inc,Transaction Account,Gifts & Donations,Gifts,Beautiful listen us.,382.41,,22049.82,History organization policy purpose during notice.
22-05-2023,"Smith, Armstrong and Lewis",Transaction Account,Financial,Cash Withdrawals,South everybody enjoy new forget.,392.58,,22061.1,Science two gun.
25-09-2022,Bruce PLC,Transaction Account,Food & Drink,Other Food Expenses,Help expert morning security.,86.41,,21215.48,Hot fine ready by.
30-11-2022,"Cuevas, Pace and Gilmore",Transaction Account,Health & Medical,Pharmacies,Card peace everything learn other break night.,291.48,,32012.62,Difference night tree hundred window.
16-03-2023,"Calhoun, Brewer and Collier",Transaction Account,Utilities,Pay TV,Including others government mean kitchen.,534.09,,19088.71,Turn hit within not leave.
07-05-2023,Copeland-Stevens,Transaction Account,Financial,Direct Debits,Present building according young.,423.26,,21443.5,Know her brother culture adult.
28-01-2023,"Turner, Valentine and Kirk",Transaction Account,Education,Stationery,Story your person green stand seem.,386.75,,26082.74,Center total teacher place fill suffer explain shoulder.
25-07-2022,Duncan Ltd,Transaction Account,Income,Salary,Or prepare evening three instead.,,696.09,31450.12,Wrong which budget section some especially.
27-09-2022,Clark Inc,Transaction Account,Education,Stationery,Crime threat from cause set man.,408.16,,12182.97,Federal yet down without.
28-11-2022,"Jackson, Perry and Hernandez",Transaction Account,Home,Furnishings,Government ever mean as give peace.,571.4,,38363.48,Thousand with would.
21-04-2023,Coleman and Sons,Transaction Account,Services,Government,Without real best contain tax.,571.2,,17191.67,Music body nothing here return.
24-07-2022,"Santiago, Powell and Torres",Transaction Account,Technology,Hardware,Like worker entire despite take.,129.45,,13682.95,Meet partner together serve.
02-11-2022,Mullins-Wilson,Transaction Account,Health & Medical,Pharmacies,Official or poor bag table light parent.,419.08,,33462.47,Education term game task.
02-02-2023,Chung-Aguirre,Transaction Account,Personal,Other Personal Expenses,School trade one lot paper leg.,495.66,,16306.69,Deep will old seven head source.
25-12-2022,Anderson Ltd,Transaction Account,Utilities,Pay TV,From position process its inside send.,686.97,,36573.95,Car realize four anything necessary scene degree.
06-06-2022,Ramirez-Marquez,Transaction Account,Gifts & Donations,Gifts,Whom in price although beat.,780.33,,17618.11,A allow operation remember be.
15-12-2022,Peterson Ltd,Transaction Account,Travel,Flights,Pattern test area describe rise child agency.,519.68,,37600.81,Everybody prepare series town various marriage.
22-11-2022,"Castillo, Powell and Bean",Transaction Account,Personal,Other Personal Expenses,Itself sense pay explain remember interesting effect knowledge.,118.79,,35243.05,Many account manage democratic simple.
24-10-2022,Koch LLC,Transaction Account,Education,Stationery,Decision day money.,244.22,,14716.42,True number food expert.
10-11-2022,Hodge-Pugh,Transaction Account,Food & Drink,Restaurants,Wind until have trip cup usually dog.,656.61,,22019.17,Buy star factor think bed table.
08-06-2022,"Blanchard, Trevino and Martinez",Transaction Account,Personal,Other Personal Expenses,Compare capital soldier store western southern to.,10.32,,26539.59,Give treat unit lose program health.
26-05-2023,Miller-Rice,Transaction Account,Personal,Other Personal Expenses,Hair leave sort hold learn.,434.56,,34725.9,Body raise third.
26-08-2022,"Faulkner, Lawson and Lamb",Transaction Account,Insurance,Financial Insurance,Off current suggest small.,257.33,,19152.26,Check than base practice into shake.
16-07-2022,Jenkins Group,Transaction Account,Financial,Direct Debits,Consider follow fight full the.,429.9,,24184.94,Husband mean tend.
21-05-2023,"Freeman, West and Barajas",Transaction Account,Financial,Transfers,Site computer black million old ahead.,471.91,,34823.96,Strategy couple local month water try improve.
26-08-2022,Simpson-Roberts,Transaction Account,Income,Salary,Church cup political foreign local.,,804.5,43150.22,Describe significant give couple large specific.
13-08-2022,Morton-Webster,Transaction Account,Insurance,Financial Insurance,Situation send whole argue bad moment use.,741.05,,42929.77,Identify history simple clear image maintain action yourself.
20-04-2023,Harris-Lee,Transaction Account,Transportation,Fuel,Happen major case suddenly hand poor.,194.08,,44614.72,Medical shoulder clearly mind and.
21-01-2023,Allison PLC,Transaction Account,Services,Government,Life cause too me technology develop.,511.65,,33427.66,Country exactly certain site like accept culture.
31-03-2023,Sanchez and Sons,Transaction Account,Income,Salary,Major successful ago reason especially executive.,,740.28,19723.94,Character into cold discuss.
19-04-2023,Brown-Stanley,Transaction Account,Insurance,Financial Insurance,Mean identify do or ask price million.,619.22,,38438.8,Ten become series defense third agree hear.
26-02-2023,Jones-Ward,Transaction Account,Travel,Accommodation,Money after music system.,97.96,,24593.03,Election energy court expert suffer know education.
16-09-2022,Dixon LLC,Transaction Account,Services,Government,Modern natural executive you truth certainly.,151.6,,18862.31,Drop share recognize lead note.
27-09-2022,Newton LLC,Transaction Account,Technology,Hardware,Eye street can offer price part.,209.57,,11225.5,Do participant perform apply natural.
08-02-2023,Cole-Wallace,Transaction Account,Financial,Direct Debits,Star father price would image program.,523.67,,48952.17,Onto draw indicate must every kind act war.
